"date","agegroup","cases_unvac_rate_per100K","cases_partial_vac_rate_per100K","cases_full_vac_rate_per100K","cases_unvac_rate_7ma","cases_partial_vac_rate_7ma","cases_full_vac_rate_7ma"
2021-11-05,"12-17yrs",10.01,1.72,0.94,9.25,2.37,0.60
2021-11-05,"18-39yrs",10.97,3.39,2.31,7.92,2.59,1.59
2021-11-05,"40-59yrs",10.58,3.75,2.28,7.89,2.91,1.62
2021-11-05,"60-79yrs",14.68,0.00,1.91,14.78,1.47,1.19
2021-11-05,"80+",0.00,0.00,5.30,-0.00,0.82,1.60
2021-11-05,"ALL",7.90,2.81,2.28,6.11,2.43,1.43
2021-11-06,"0-11yrs",4.36,0.00,0.00,3.95,-0.00,-0.00
2021-11-06,"12-17yrs",10.06,0.00,0.80,9.03,2.14,0.67
2021-11-06,"18-39yrs",12.24,2.30,2.73,8.66,2.42,1.80
2021-11-06,"40-59yrs",8.50,6.10,2.09,8.13,3.48,1.72
2021-11-06,"60-79yrs",19.15,1.78,1.32,15.88,1.72,1.24
2021-11-06,"80+",0.00,0.00,1.71,-0.00,0.82,1.69
2021-11-06,"ALL",7.73,2.86,1.99,6.38,2.51,1.55
2021-11-07,"0-11yrs",6.77,0.00,0.00,4.53,-0.00,-0.00
2021-11-07,"12-17yrs",15.81,1.78,0.94,10.50,2.17,0.67
2021-11-07,"18-39yrs",13.91,4.66,2.73,9.70,2.73,2.00
2021-11-07,"40-59yrs",12.16,1.54,2.40,8.80,3.50,1.89
2021-11-07,"60-79yrs",14.90,0.00,1.83,15.88,1.48,1.39
2021-11-07,"80+",0.00,0.00,2.49,-0.00,-0.00,1.96
2021-11-07,"ALL",9.95,2.89,2.27,7.08,2.62,1.72
2021-11-08,"0-11yrs",5.93,0.00,0.00,4.70,0.00,-0.00
2021-11-08,"12-17yrs",8.24,7.20,1.20,9.75,2.96,0.75
2021-11-08,"18-39yrs",9.74,3.13,2.04,9.76,2.82,2.03
2021-11-08,"40-59yrs",7.48,0.78,1.79,9.07,3.20,1.90
2021-11-08,"60-79yrs",15.87,0.00,1.32,15.77,1.24,1.41
2021-11-08,"80+",0.00,0.00,2.33,0.00,-0.00,2.18
2021-11-08,"ALL",7.48,2.52,1.74,7.18,2.65,1.76
2021-11-09,"0-11yrs",4.98,0.00,0.00,4.91,-0.00,-0.00
2021-11-09,"12-17yrs",6.99,1.82,1.07,9.34,2.75,0.86
2021-11-09,"18-39yrs",8.29,3.17,2.01,10.36,3.12,2.11
2021-11-09,"40-59yrs",8.57,3.92,1.30,9.40,3.14,1.90
2021-11-09,"60-79yrs",16.89,9.05,1.21,16.26,1.80,1.43
2021-11-09,"80+",0.00,0.00,2.80,-0.00,-0.00,2.38
2021-11-09,"ALL",6.91,3.73,1.58,7.49,2.82,1.80
2021-11-10,"0-11yrs",4.31,0.00,0.00,5.10,-0.00,0.00
2021-11-10,"12-17yrs",11.50,5.53,0.93,9.92,3.06,0.92
2021-11-10,"18-39yrs",8.33,2.01,2.09,10.46,3.04,2.20
2021-11-10,"40-59yrs",7.74,0.80,2.18,9.22,2.94,2.00
2021-11-10,"60-79yrs",13.45,1.83,1.28,16.37,2.06,1.45
2021-11-10,"80+",0.00,5.98,2.64,-0.00,0.85,2.58
2021-11-10,"ALL",6.49,2.19,1.87,7.62,2.82,1.88
2021-11-11,"0-11yrs",8.39,35.77,0.00,5.70,5.11,0.00
2021-11-11,"12-17yrs",15.39,1.87,0.93,11.14,2.85,0.97
2021-11-11,"18-39yrs",10.84,1.63,2.79,10.62,2.90,2.39
2021-11-11,"40-59yrs",12.31,8.86,2.54,9.62,3.68,2.08
2021-11-11,"60-79yrs",17.21,1.85,1.35,16.02,2.07,1.46
2021-11-11,"80+",0.00,0.00,2.80,-0.00,0.85,2.87
2021-11-11,"ALL",10.30,3.62,2.23,8.11,2.95,1.99
2021-11-12,"0-11yrs",5.59,36.67,0.00,5.76,10.35,0.00
2021-11-12,"12-17yrs",9.01,5.68,1.06,11.00,3.41,0.99
2021-11-12,"18-39yrs",13.37,4.14,2.28,10.96,3.01,2.38
2021-11-12,"40-59yrs",11.49,5.72,2.69,9.75,3.96,2.14
2021-11-12,"60-79yrs",23.74,5.60,1.28,17.32,2.87,1.37
2021-11-12,"80+",0.00,0.00,1.40,-0.00,0.85,2.31
2021-11-12,"ALL",9.21,4.90,2.02,8.30,3.24,1.96
2021-11-13,"0-11yrs",6.48,0.00,0.00,6.06,10.35,0.00
2021-11-13,"12-17yrs",21.33,9.65,1.46,12.61,4.79,1.08
2021-11-13,"18-39yrs",10.25,3.37,2.64,10.68,3.16,2.37
2021-11-13,"40-59yrs",13.93,4.16,2.99,10.53,3.68,2.27
2021-11-13,"60-79yrs",24.89,7.57,2.04,18.14,3.70,1.47
2021-11-13,"80+",0.00,0.00,2.02,-0.00,0.85,2.35
2021-11-13,"ALL",9.76,4.57,2.48,8.59,3.49,2.03
2021-11-14,"0-11yrs",6.99,0.00,0.00,6.10,10.35,0.00
2021-11-14,"12-17yrs",16.87,0.00,1.98,12.76,4.54,1.23
2021-11-14,"18-39yrs",9.03,5.97,2.92,9.98,3.35,2.40
2021-11-14,"40-59yrs",11.78,5.90,2.77,10.47,4.31,2.32
2021-11-14,"60-79yrs",25.06,3.81,2.01,19.59,4.24,1.50
2021-11-14,"80+",0.00,6.07,5.27,-0.00,1.72,2.75
2021-11-14,"ALL",9.31,5.04,2.72,8.49,3.80,2.09
2021-11-15,"0-11yrs",6.32,0.00,0.00,6.15,10.35,0.00
2021-11-15,"12-17yrs",12.34,11.81,1.32,13.35,5.19,1.25
2021-11-15,"18-39yrs",9.74,3.43,2.35,9.98,3.39,2.44
2021-11-15,"40-59yrs",13.98,6.79,2.17,11.40,5.16,2.38
2021-11-15,"60-79yrs",15.86,1.91,1.28,19.59,4.52,1.49
2021-11-15,"80+",0.00,0.00,1.71,-0.00,1.72,2.66
2021-11-15,"ALL",8.88,4.86,1.92,8.69,4.13,2.12
2021-11-16,"0-11yrs",4.47,0.00,0.00,6.08,10.35,0.00
2021-11-16,"12-17yrs",11.07,3.97,0.92,13.93,5.50,1.23
2021-11-16,"18-39yrs",9.08,3.46,2.07,10.09,3.43,2.45
2021-11-16,"40-59yrs",10.08,5.98,1.78,11.62,5.46,2.45
2021-11-16,"60-79yrs",22.57,0.00,1.64,20.40,3.22,1.55
2021-11-16,"80+",0.00,6.07,0.62,0.00,2.59,2.35
2021-11-16,"ALL",7.34,3.83,1.71,8.76,4.14,2.14
2021-11-17,"0-11yrs",5.64,42.34,0.00,6.27,16.40,-0.00
2021-11-17,"12-17yrs",9.80,0.00,0.92,13.69,4.71,1.23
2021-11-17,"18-39yrs",7.44,3.06,1.79,9.96,3.58,2.41
2021-11-17,"40-59yrs",13.41,5.17,2.35,12.43,6.08,2.47
2021-11-17,"60-79yrs",14.24,7.75,1.68,20.51,4.07,1.61
2021-11-17,"80+",0.00,6.09,1.08,0.00,2.60,2.13
2021-11-17,"ALL",7.79,4.08,1.83,8.94,4.41,2.13
2021-11-18,"0-11yrs",8.10,0.00,0.00,6.23,11.29,0.00
2021-11-18,"12-17yrs",9.18,6.08,2.50,12.80,5.31,1.45
2021-11-18,"18-39yrs",11.55,5.75,2.59,10.07,4.17,2.38
2021-11-18,"40-59yrs",11.69,7.84,2.89,12.34,5.94,2.52
2021-11-18,"60-79yrs",23.96,5.86,2.62,21.47,4.64,1.79
2021-11-18,"80+",0.00,0.00,5.27,0.00,2.60,2.48
2021-11-18,"ALL",10.05,6.08,2.84,8.91,4.77,2.22
2021-11-19,"0-11yrs",9.55,0.00,0.00,6.79,6.05,-0.00
2021-11-19,"12-17yrs",11.18,8.19,1.45,13.11,5.67,1.51
2021-11-19,"18-39yrs",13.30,4.47,2.81,10.06,4.22,2.45
2021-11-19,"40-59yrs",13.94,6.17,3.60,12.69,6.00,2.65
2021-11-19,"60-79yrs",34.81,1.97,2.66,23.06,4.12,1.99
2021-11-19,"80+",0.00,0.00,2.79,0.00,2.60,2.68
2021-11-19,"ALL",12.04,4.83,2.91,9.31,4.76,2.34
2021-11-20,"0-11yrs",9.05,0.00,0.00,7.16,6.05,-0.00
2021-11-20,"12-17yrs",21.13,4.18,1.84,13.08,4.89,1.56
2021-11-20,"18-39yrs",12.93,3.63,2.73,10.44,4.25,2.47
2021-11-20,"40-59yrs",11.99,5.36,3.24,12.41,6.17,2.69
2021-11-20,"60-79yrs",30.25,2.00,2.04,23.82,3.33,1.99
2021-11-20,"80+",0.00,0.00,1.70,-0.00,2.60,2.63
2021-11-20,"ALL",11.59,3.79,2.59,9.57,4.64,2.36
2021-11-21,"0-11yrs",9.38,0.00,11.34,7.50,6.05,1.62
2021-11-21,"12-17yrs",9.28,6.37,2.10,12.00,5.80,1.58
2021-11-21,"18-39yrs",12.97,4.13,3.61,11.00,3.99,2.56
2021-11-21,"40-59yrs",10.91,7.22,3.72,12.29,6.36,2.82
2021-11-21,"60-79yrs",26.52,0.00,1.78,24.03,2.78,1.96
2021-11-21,"80+",0.00,0.00,1.70,0.00,1.74,2.12
2021-11-21,"ALL",10.98,4.51,2.98,9.81,4.57,2.40
2021-11-22,"0-11yrs",6.92,0.00,0.00,7.59,6.05,1.62
2021-11-22,"12-17yrs",8.63,2.14,1.31,11.47,4.42,1.58
2021-11-22,"18-39yrs",9.85,6.47,3.08,11.02,4.42,2.67
2021-11-22,"40-59yrs",10.92,7.26,3.00,11.85,6.43,2.94
2021-11-22,"60-79yrs",24.68,0.00,2.00,25.29,2.51,2.06
2021-11-22,"80+",0.00,0.00,1.55,0.00,1.74,2.10
2021-11-22,"ALL",8.85,5.21,2.57,9.81,4.62,2.49
2021-11-23,"0-11yrs",5.81,0.00,0.00,7.78,6.05,1.62
2021-11-23,"12-17yrs",15.29,8.61,1.31,12.07,5.08,1.63
2021-11-23,"18-39yrs",11.60,5.13,2.86,11.38,4.66,2.78
2021-11-23,"40-59yrs",9.38,9.16,3.06,11.75,6.88,3.12
2021-11-23,"60-79yrs",32.86,8.10,1.64,26.76,3.67,2.06
2021-11-23,"80+",0.00,6.17,0.93,0.00,1.75,2.15
2021-11-23,"ALL",9.06,6.86,2.39,10.05,5.05,2.59
2021-11-24,"0-11yrs",8.60,0.00,0.00,8.20,0.00,1.62
2021-11-24,"12-17yrs",10.68,0.00,0.65,12.20,5.08,1.59
2021-11-24,"18-39yrs",8.77,3.77,2.27,11.57,4.76,2.85
2021-11-24,"40-59yrs",10.53,4.62,2.69,11.34,6.80,3.17
2021-11-24,"60-79yrs",15.08,2.04,1.85,26.88,2.85,2.08
2021-11-24,"80+",0.00,0.00,1.39,-0.00,0.88,2.19
2021-11-24,"ALL",9.23,3.23,2.13,10.26,4.93,2.63
2021-11-25,"0-11yrs",9.15,0.00,0.00,8.35,-0.00,1.62
2021-11-25,"12-17yrs",9.37,8.81,1.44,12.22,5.47,1.44
2021-11-25,"18-39yrs",13.57,3.81,3.43,11.86,4.49,2.97
2021-11-25,"40-59yrs",13.04,4.68,3.38,11.53,6.35,3.24
2021-11-25,"60-79yrs",19.26,4.12,2.69,26.21,2.60,2.09
2021-11-25,"80+",0.00,0.00,1.08,0.00,0.88,1.59
2021-11-25,"ALL",11.23,4.43,2.95,10.43,4.69,2.65
2021-11-26,"0-11yrs",12.67,54.53,0.00,8.80,7.79,1.62
2021-11-26,"12-17yrs",24.83,11.12,2.35,14.17,5.89,1.57
2021-11-26,"18-39yrs",14.35,4.81,4.28,12.01,4.54,3.18
2021-11-26,"40-59yrs",16.91,8.50,3.74,11.95,6.69,3.26
2021-11-26,"60-79yrs",31.71,4.14,2.58,25.77,2.91,2.08
2021-11-26,"80+",24.60,0.00,1.39,3.51,0.88,1.39
2021-11-26,"ALL",14.76,6.35,3.39,10.81,4.91,2.71
2021-11-27,"0-11yrs",11.94,0.00,0.00,9.21,7.79,1.62
2021-11-27,"12-17yrs",20.89,4.53,2.34,14.14,5.94,1.64
2021-11-27,"18-39yrs",16.15,6.33,2.98,12.47,4.92,3.22
2021-11-27,"40-59yrs",15.83,4.80,4.09,12.50,6.61,3.38
2021-11-27,"60-79yrs",24.78,6.27,2.54,24.98,3.52,2.15
2021-11-27,"80+",0.00,0.00,2.47,3.51,0.88,1.50
2021-11-27,"ALL",14.28,5.49,3.13,11.20,5.15,2.79
2021-11-28,"0-11yrs",12.28,0.00,0.00,9.62,7.79,-0.00
2021-11-28,"12-17yrs",20.97,4.61,2.47,15.81,5.69,1.70
2021-11-28,"18-39yrs",18.10,4.43,3.97,13.20,4.96,3.27
2021-11-28,"40-59yrs",18.14,8.73,4.15,13.54,6.82,3.44
2021-11-28,"60-79yrs",40.53,2.10,2.98,26.99,3.82,2.33
2021-11-28,"80+",0.00,0.00,1.85,3.51,0.88,1.52
2021-11-28,"ALL",15.79,5.06,3.55,11.89,5.23,2.87
